Airliner,First delivery,Range (km),PAX capacity (min),PAX capacity (mean),PAX capacity (max)
A318,2003,5700,107,120,132
A319,1996,6940,124,140,156
A320,1988,6100,150,168,186
A321,1994,5900,185,208,230
A319neo,2019,6950,140,150,160
A320neo,2016,6500,165,180,195
A321neo,2017,7400,190,217,244
A330-200,1998,13450,246,326,406
A330-300,1993,11750,300,370,440
A330-800,2020,15094,220,313,406
A330-900,2018,13334,260,360,460
A340-200,1993,12400,210,257,303
A340-300,1993,13500,250,293,335
A340-500,2003,16670,270,292,313
A340-600,2002,14450,310,345,380
A350-900,2014,15372,315,378,440
A350-900ULR,2018,17964,315,378,440
A350-1000,2018,16100,369,425,480
A380,2007,14800,575,714,853
737-600,1999,5991,108,119,130
737-700,1997,5570,128,138,148
737-800,1998,5436,160,172,184
737-900ER,2007,5460,177,196,215
737 MAX 7,2017,7000,153,163,172
737 MAX 8,2017,6500,178,190,202
737 MAX 9,2017,6100,193,207,220
737 MAX 10,,5700,204,217,230
747-400,1989,14205,416,538,660
747-8,2005,14320,467,536,605
757-200,1983,7250,200,220,239
757-300,1999,6295,243,269,295
767-200ER,1984,12200,174,210,245
767-300ER,1993,11070,210,250,290
767-400ER,2000,10415,243,309,375
777-200ER,1997,13080,305,373,440
777-200LR,2006,15843,301,371,440
777-300ER,2004,13650,365,458,550
777-8,,16190,395,395,395
777-9,,13500,349,388,426
787-8,2011,13620,242,301,359
787-9,2014,14140,290,348,406
787-10,2018,11910,330,385,440
